Epoch,Loss,Accuracy
1,3.462725163,0.0859375
2,3.108987331,0.151367188
3,2.899544477,0.172851563
4,2.814379692,0.19921875
5,2.742027044,0.177734375
6,2.696304798,0.205078125
7,2.620138407,0.211914063
8,2.599591732,0.2265625
9,2.565729618,0.229492188
10,2.512801409,0.221679688
11,2.487395287,0.243164063
12,2.425047398,0.262695313
13,2.417201042,0.274414063
14,2.369757175,0.291992188
15,2.351989031,0.2890625
16,2.311506033,0.288085938
17,2.265169859,0.319335938
18,2.28672123,0.31640625
19,2.254572392,0.326171875
20,2.218255997,0.334960938
21,2.20659852,0.33203125
22,2.175896168,0.3359375
23,2.154285908,0.336914063
24,2.161108255,0.354492188
25,2.114378691,0.352539063
26,2.086580276,0.358398438
27,2.07154417,0.374023438
28,2.037445068,0.373046875
29,2.028074265,0.37109375
30,2.064177752,0.366210938
31,1.983315468,0.377929688
32,1.942404032,0.419921875
33,1.959092617,0.395507813
34,1.911249042,0.408203125
35,1.934497356,0.413085938
36,1.866993546,0.420898438
37,1.88319397,0.4375
38,1.86513555,0.421875
39,1.873073816,0.434570313
40,1.857803226,0.439453125
41,1.828695416,0.446289063
42,1.81009841,0.439453125
43,1.820955157,0.448242188
44,1.760425329,0.466796875
45,1.812086344,0.454101563
46,1.797846317,0.443359375
47,1.772979021,0.463867188
48,1.717100382,0.494140625
49,1.739507675,0.477539063
50,1.742871523,0.484375
51,1.72294426,0.469726563
52,1.693499207,0.48828125
53,1.669442415,0.478515625
54,1.660280943,0.48828125
55,1.686943531,0.47265625
56,1.676790476,0.463867188
57,1.630754471,0.486328125
58,1.630619287,0.505859375
59,1.646989822,0.487304688
60,1.620555401,0.485351563
61,1.6634835,0.48828125
62,1.662007451,0.481445313
63,1.640005469,0.484375
64,1.610920429,0.502929688
65,1.60540998,0.491210938
66,1.595210671,0.493164063
67,1.574429512,0.509765625
68,1.568502545,0.500976563
69,1.591148973,0.497070313
70,1.563641191,0.510742188
71,1.508279562,0.5234375
72,1.574167013,0.520507813
73,1.534389734,0.529296875
74,1.498287678,0.5234375
75,1.515288115,0.53125
76,1.513638854,0.506835938
77,1.47318697,0.553710938
78,1.456580043,0.534179688
79,1.506111622,0.509765625
80,1.455230594,0.5390625
81,1.466706276,0.544921875
82,1.470863581,0.528320313
83,1.499653101,0.532226563
84,1.448459625,0.541992188
85,1.475833178,0.537109375
86,1.434308767,0.548828125
87,1.438677192,0.543945313
88,1.434769154,0.5546875
89,1.461148024,0.5390625
90,1.409683466,0.5703125
91,1.410920143,0.52734375
92,1.414447427,0.529296875
93,1.431685805,0.572265625
94,1.389912128,0.55859375
95,1.448420644,0.54296875
96,1.431964159,0.547851563
97,1.374437094,0.55078125
98,1.499117374,0.530273438
99,1.383093357,0.58203125
100,1.421967268,0.536132813
101,1.388934255,0.563476563
102,1.391492367,0.565429688
103,1.416986942,0.55859375
104,1.330688119,0.579101563
105,1.371708035,0.553710938
106,1.36143899,0.5625
107,1.336598277,0.578125
108,1.370622396,0.557617188
109,1.356958747,0.56640625
110,1.365544677,0.573242188
111,1.379054546,0.563476563
112,1.345314264,0.563476563
113,1.349297285,0.576171875
114,1.362809896,0.564453125
115,1.318991184,0.58203125
116,1.350744963,0.577148438
117,1.320053458,0.579101563
118,1.29973197,0.577148438
119,1.363010406,0.5625
120,1.295152903,0.577148438
121,1.328488827,0.573242188
122,1.307905555,0.587890625
123,1.360427737,0.556640625
124,1.302186489,0.560546875
125,1.295247436,0.598632813
126,1.331393838,0.567382813
127,1.272262573,0.595703125
128,1.269207954,0.59765625
129,1.346425772,0.567382813
130,1.290590286,0.59765625
131,1.327511072,0.575195313
132,1.302525043,0.584960938
133,1.261658788,0.5859375
134,1.298668861,0.596679688
135,1.297784328,0.59765625
136,1.304535866,0.563476563
137,1.294965863,0.590820313
138,1.256874204,0.607421875
139,1.264993191,0.59765625
140,1.248473167,0.606445313
141,1.227359056,0.606445313
142,1.344674587,0.573242188
143,1.292167068,0.58203125
144,1.271062493,0.586914063
145,1.248498917,0.60546875
146,1.282690644,0.58984375
147,1.255245328,0.594726563
148,1.268339038,0.583007813
149,1.218987942,0.609375
150,1.281050563,0.58203125
151,1.312177658,0.57421875
152,1.241343021,0.61328125
153,1.239585161,0.607421875
154,1.266449571,0.592773438
155,1.260483027,0.58984375
156,1.226970911,0.604492188
157,1.224190354,0.603515625
158,1.239536762,0.612304688
159,1.220697165,0.603515625
160,1.261169195,0.599609375
161,1.239700079,0.61328125
162,1.230975747,0.60546875
163,1.230799079,0.607421875
164,1.235409617,0.598632813
165,1.18225491,0.627929688
166,1.241713524,0.583984375
167,1.224729776,0.591796875
168,1.183408499,0.608398438
169,1.172341704,0.62890625
170,1.188709021,0.609375
171,1.204572678,0.610351563
172,1.243589401,0.591796875
173,1.209072709,0.600585938
174,1.249966264,0.59375
175,1.203360677,0.606445313
176,1.250064135,0.60546875
177,1.249991179,0.596679688
178,1.215800643,0.606445313
179,1.210516453,0.609375
180,1.189078093,0.612304688
181,1.213902473,0.610351563
182,1.240023017,0.6015625
183,1.17845273,0.629882813
184,1.207274675,0.623046875
185,1.191697955,0.595703125
186,1.183006048,0.609375
187,1.203134537,0.612304688
188,1.1968503,0.6328125
189,1.198223829,0.61328125
190,1.158380866,0.60546875
191,1.226003647,0.6171875
192,1.177345514,0.639648438
193,1.206071377,0.6171875
194,1.189125419,0.615234375
195,1.182898998,0.627929688
196,1.188904762,0.60546875
197,1.176456451,0.608398438
198,1.143939853,0.630859375
199,1.192681909,0.603515625
200,1.176511049,0.612304688
201,1.155222774,0.6328125
202,1.167846918,0.623046875
203,1.198023558,0.62109375
204,1.145325422,0.643554688
205,1.202275157,0.62109375
206,1.168863297,0.6328125
207,1.194312572,0.610351563
208,1.163138151,0.6328125
209,1.228526354,0.615234375
210,1.222255349,0.604492188
211,1.195780158,0.616210938
212,1.206025362,0.598632813
213,1.145264864,0.6328125
214,1.140259862,0.63671875
215,1.178351402,0.619140625
216,1.172992468,0.618164063
217,1.152398109,0.6328125
218,1.189974308,0.623046875
219,1.166878939,0.62109375
220,1.16492033,0.62109375
221,1.218982577,0.6015625
222,1.153428793,0.631835938
223,1.143638372,0.634765625
224,1.163099051,0.642578125
225,1.14469862,0.6328125
226,1.152763605,0.620117188
227,1.168289065,0.624023438
228,1.190952778,0.614257813
229,1.162269354,0.6171875
230,1.154519796,0.618164063
231,1.14757061,0.626953125
232,1.13664031,0.619140625
233,1.119164705,0.640625
234,1.181237221,0.616210938
235,1.128880858,0.635742188
236,1.163195372,0.623046875
237,1.145900726,0.629882813
238,1.12836802,0.633789063
239,1.12773633,0.64453125
240,1.147164941,0.60546875
241,1.145790815,0.633789063
242,1.179770112,0.611328125
243,1.132642984,0.625976563
244,1.146736622,0.641601563
245,1.103542805,0.62890625
246,1.09939003,0.646484375
247,1.105214953,0.634765625
248,1.132116675,0.64453125
249,1.09941411,0.645507813
250,1.120685577,0.633789063
251,1.091263533,0.645507813
252,1.090334654,0.630859375
253,1.13550365,0.625976563
254,1.095890999,0.640625
255,1.120929837,0.655273438
256,1.169027805,0.640625
257,1.068940401,0.643554688
258,1.130224705,0.635742188
259,1.051156163,0.6484375
260,1.109725475,0.643554688
261,1.104297638,0.641601563
262,1.089957237,0.655273438
263,1.13330245,0.642578125
264,1.111049533,0.625976563
265,1.155127764,0.61328125
266,1.084261179,0.646484375
267,1.104129076,0.646484375
268,1.12805891,0.6328125
269,1.108535767,0.637695313
270,1.115421772,0.65234375
271,1.15948534,0.625
272,1.130340815,0.635742188
273,1.109447479,0.643554688
274,1.154283524,0.622070313
275,1.154957294,0.626953125
276,1.112702966,0.637695313
277,1.125252843,0.629882813
278,1.111206651,0.642578125
279,1.150572896,0.641601563
280,1.151563287,0.625976563
281,1.10200429,0.653320313
282,1.090934634,0.661132813
283,1.049162388,0.663085938
284,1.064917803,0.658203125
285,1.100102544,0.651367188
286,1.159387589,0.625
287,1.116251945,0.640625
288,1.081221104,0.65625
289,1.144941807,0.646484375
290,1.130613804,0.625976563
291,1.09562254,0.63671875
292,1.096781135,0.647460938
293,1.085885525,0.630859375
294,1.095873833,0.646484375
295,1.062830448,0.659179688
296,1.084357738,0.641601563
297,1.127200603,0.637695313
298,1.173929811,0.610351563
299,1.096289158,0.642578125
300,1.101991653,0.640625
301,1.04975462,0.66796875
302,1.060078382,0.65234375
303,1.032401085,0.657226563
304,1.125792027,0.623046875
305,1.083198309,0.645507813
306,1.101378918,0.63671875
307,1.064959288,0.651367188
308,1.102744818,0.642578125
309,1.025817156,0.670898438
310,1.07118547,0.643554688
311,1.06499052,0.641601563
312,1.082594514,0.65234375
313,1.113320231,0.625976563
314,1.100023746,0.647460938
315,1.064275265,0.6328125
316,1.082725048,0.639648438
317,1.031865835,0.680664063
318,1.111472726,0.654296875
319,1.063878894,0.654296875
320,1.11993289,0.618164063
321,1.046124458,0.65234375
322,1.112119794,0.630859375
323,1.071867466,0.650390625
324,1.096318007,0.6484375
325,1.114367843,0.639648438
326,1.110029697,0.655273438
327,1.074685097,0.657226563
328,1.09254849,0.62109375
329,1.071639538,0.646484375
330,1.001049638,0.681640625
331,1.073319674,0.65625
332,1.085211277,0.640625
333,1.091323256,0.630859375
334,1.067326665,0.647460938
335,1.031322956,0.666992188
336,1.045762897,0.66015625
337,1.085765362,0.637695313
338,1.04241538,0.666992188
339,1.093873262,0.641601563
340,1.068419456,0.66015625
341,1.132218599,0.631835938
342,1.110471725,0.657226563
343,1.047811985,0.651367188
344,1.070163488,0.659179688
345,1.095028639,0.639648438
346,1.073766351,0.65625
347,1.010364056,0.661132813
348,1.074590445,0.658203125
349,1.030840397,0.668945313
350,1.100401402,0.635742188
351,1.035930753,0.657226563
352,1.077646971,0.663085938
353,1.096168399,0.641601563
354,1.046590328,0.645507813
355,1.097751856,0.641601563
356,1.105302334,0.657226563
357,1.032306433,0.645507813
358,1.08332181,0.654296875
359,1.114208817,0.635742188
360,1.042544603,0.641601563
361,1.065621853,0.6640625
362,1.044824004,0.668945313
363,1.085009098,0.649414063
364,1.069765687,0.639648438
365,1.09138155,0.640625
366,1.052130699,0.651367188
367,1.079675198,0.663085938
368,1.079703808,0.651367188
369,1.087891936,0.629882813
370,1.033313274,0.666015625
371,1.026724815,0.66796875
372,1.071478128,0.65234375
373,1.03685832,0.680664063
374,1.05989325,0.639648438
375,1.041297197,0.661132813
376,1.040080905,0.669921875
377,1.093052387,0.639648438
378,1.014872432,0.674804688
379,1.082944989,0.66015625
380,1.092783093,0.647460938
381,1.071536303,0.654296875
382,1.126238585,0.63671875
383,1.038466811,0.681640625
384,1.070676327,0.669921875
385,1.010334849,0.665039063
386,1.06140852,0.653320313
387,1.097594023,0.649414063
388,1.004575491,0.6640625
389,1.031629443,0.658203125
390,1.080294132,0.64453125
391,1.036397457,0.670898438
392,1.016210794,0.671875
393,1.097957611,0.649414063
394,1.05382967,0.645507813
395,1.033561468,0.6640625
396,1.016288519,0.671875
397,1.052470922,0.655273438
398,1.055971384,0.657226563
399,1.084227443,0.64453125
400,1.049196482,0.649414063
401,1.202006102,0.6171875
402,1.178379416,0.625976563
403,1.207702398,0.607421875
404,1.20028007,0.602539063
405,1.199235797,0.633789063
406,1.20543623,0.615234375
407,1.150704145,0.625
408,1.150940061,0.631835938
409,1.190187097,0.609375
410,1.133151293,0.642578125
411,1.148261786,0.63671875
412,1.167511702,0.629882813
413,1.15263629,0.625
414,1.177400231,0.627929688
415,1.17516613,0.622070313
416,1.169306278,0.614257813
417,1.159249783,0.619140625
418,1.18454957,0.638671875
419,1.12500453,0.625976563
420,1.126059055,0.635742188
421,1.166358709,0.63671875
422,1.136245012,0.635742188
423,1.18465662,0.61328125
424,1.196849227,0.611328125
425,1.204889655,0.612304688
426,1.099324465,0.655273438
427,1.151971936,0.611328125
428,1.130832672,0.638671875
429,1.141403198,0.610351563
430,1.144125223,0.630859375
431,1.172697902,0.62109375
432,1.166278124,0.635742188
433,1.159476757,0.612304688
434,1.138061404,0.6328125
435,1.130228281,0.619140625
436,1.166657448,0.618164063
437,1.156824589,0.620117188
438,1.143531799,0.627929688
439,1.168210983,0.63671875
440,1.127510428,0.633789063
441,1.129839182,0.60546875
442,1.09919703,0.6328125
443,1.144696236,0.643554688
444,1.176222086,0.624023438
445,1.102267861,0.62890625
446,1.134370565,0.627929688
447,1.175376177,0.626953125
448,1.133576989,0.630859375
449,1.131821156,0.6328125
450,1.062070131,0.654296875
451,1.108980179,0.629882813
452,1.165286779,0.629882813
453,1.106306791,0.643554688
454,1.152858734,0.60546875
455,1.149453759,0.634765625
456,1.14213264,0.630859375
457,1.11385119,0.642578125
458,1.175127864,0.640625
459,1.121276855,0.642578125
460,1.078844905,0.643554688
461,1.082062483,0.62890625
462,1.079012632,0.658203125
463,1.116717696,0.625976563
464,1.114600182,0.645507813
465,1.130814552,0.620117188
466,1.085897923,0.65234375
467,1.151043892,0.6171875
468,1.080157876,0.642578125
469,1.117023587,0.631835938
470,1.122240782,0.6328125
471,1.105642796,0.640625
472,1.126802087,0.650390625
473,1.114305139,0.629882813
474,1.127159476,0.624023438
475,1.086229086,0.6640625
476,1.073325753,0.6484375
477,1.107492447,0.63671875
478,1.076975346,0.659179688
479,1.097940207,0.63671875
480,1.129163265,0.627929688
481,1.095226049,0.647460938
482,1.098067522,0.64453125
483,1.12989068,0.642578125
484,1.076613307,0.647460938
485,1.093573213,0.6640625
486,1.070575714,0.649414063
487,1.101017237,0.650390625
488,1.10872066,0.639648438
489,1.11473012,0.639648438
490,1.068969607,0.641601563
491,1.120301366,0.6484375
492,1.138172626,0.633789063
493,1.096375227,0.647460938
494,1.104287982,0.625
495,1.13484931,0.633789063
496,1.112535477,0.649414063
497,1.109445214,0.638671875
498,1.124059916,0.622070313
499,1.144991159,0.618164063
500,1.152731895,0.620117188
501,1.129909277,0.624023438
502,1.077379704,0.625976563
503,1.095656872,0.65625
504,1.082134485,0.649414063
505,1.152217984,0.627929688
506,1.102174044,0.651367188
507,1.079590678,0.647460938
508,1.075186133,0.6484375
509,1.112982512,0.657226563
510,1.145010471,0.610351563
511,1.143160105,0.625976563
512,1.106421947,0.647460938
513,1.134109735,0.631835938
514,1.095567942,0.640625
515,1.103965878,0.640625
516,1.089397073,0.66015625
517,1.141907692,0.631835938
518,1.028705597,0.658203125
519,1.106949568,0.647460938
520,1.132372141,0.65625
521,1.106517434,0.640625
522,1.110215068,0.641601563
523,1.105051279,0.649414063
524,1.116925955,0.616210938
525,1.087354422,0.633789063
526,1.097410083,0.634765625
527,1.097905278,0.657226563
528,1.096683264,0.643554688
529,1.070411921,0.671875
530,1.107390165,0.637695313
531,1.067139864,0.650390625
532,1.076655507,0.641601563
533,1.079184294,0.6484375
534,1.073242426,0.640625
535,1.081016541,0.666992188
536,1.088485241,0.65625
537,1.033159494,0.661132813
538,1.099879503,0.634765625
539,1.106155157,0.631835938
540,1.06047821,0.642578125
541,1.051916838,0.672851563
542,1.071991444,0.649414063
543,1.09946835,0.637695313
544,1.025113583,0.668945313
545,1.03447926,0.670898438
546,1.024081349,0.670898438
547,1.095388532,0.639648438
548,1.103534937,0.64453125
549,1.054211855,0.673828125
550,1.058970928,0.65234375
551,1.046167135,0.655273438
552,1.05282712,0.661132813
553,1.003433466,0.661132813
554,1.079713106,0.647460938
555,1.079929352,0.651367188
556,1.080765724,0.645507813
557,1.085702896,0.624023438
558,1.064478636,0.645507813
559,1.053759336,0.663085938
560,1.148595214,0.624023438
561,1.077675343,0.65234375
562,1.121247768,0.62890625
563,1.055495501,0.66015625
564,1.049583316,0.658203125
565,1.060981393,0.6484375
566,1.057752132,0.655273438
567,1.043010354,0.669921875
568,1.051054239,0.659179688
569,1.068556309,0.653320313
570,1.069170713,0.65234375
571,1.051121473,0.655273438
572,1.066604018,0.651367188
573,1.053919315,0.651367188
574,1.067533135,0.64453125
575,1.091786504,0.633789063
576,1.081905723,0.650390625
577,1.091315508,0.64453125
578,1.052141547,0.658203125
579,1.077498674,0.655273438
580,1.112328768,0.645507813
581,1.066588879,0.655273438
582,1.121760368,0.640625
583,1.029296041,0.666015625
584,0.999342322,0.669921875
585,1.059543133,0.647460938
586,1.085276723,0.64453125
587,1.005731821,0.66796875
588,1.059475183,0.658203125
589,1.012118578,0.681640625
590,1.062551975,0.6484375
591,1.066075563,0.65625
592,1.062453985,0.645507813
593,1.045972109,0.665039063
594,1.047642231,0.654296875
595,1.058177829,0.6484375
596,1.073098898,0.651367188
597,1.029216528,0.666015625
598,1.048346996,0.662109375
599,1.041653872,0.655273438
600,1.097019434,0.615234375